"행정구역별","항목",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"행정구역별","항목",계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상
"인제군","귀농가구원수 (명)",65,14,5,25,16,5,63,8,6,31,14,4,52,11,6,16,18,X,80,16,11,24,27,X,55,11,7,9,27,X,44,6,X,10,22,X
"인제군","귀농인수 (명)",48,7,5,21,12,X,52,4,6,25,14,X,38,4,5,13,15,X,57,4,10,18,23,X,44,X,6,8,26,X,36,X,X,8,20,X
"인제군","동반가구원수 (명)",17,7,0,4,4,X,11,4,0,6,0,X,14,7,X,X,X,0,23,12,X,6,4,0,11,8,X,X,X,0,8,X,0,X,X,X
"고성군","귀농가구원수 (명)",63,15,14,17,13,4,48,10,10,16,8,4,46,10,12,9,12,X,61,12,9,22,17,X,46,14,8,16,8,0,19,X,4,6,4,X
"고성군","귀농인수 (명)",38,X,10,14,9,X,36,4,8,16,6,X,41,8,12,9,10,X,48,6,8,20,13,X,37,7,7,15,8,0,17,X,X,6,4,X
"고성군","동반가구원수 (명)",25,13,4,X,4,X,12,6,X,0,X,X,5,X,0,0,X,X,13,6,X,X,4,0,9,7,X,X,0,0,X,X,X,0,0,0
"양양군","귀농가구원수 (명)",67,17,7,22,16,5,48,8,6,18,15,X,65,13,9,23,17,X,52,15,X,17,14,X,62,9,9,18,22,4,59,10,X,21,20,7
"양양군","귀농인수 (명)",45,9,5,16,13,X,34,X,5,14,11,X,41,X,6,17,15,X,37,7,X,15,10,X,50,4,8,14,20,4,41,X,X,16,18,X
"양양군","동반가구원수 (명)",22,8,X,6,X,X,14,5,X,4,4,0,24,12,X,6,X,X,15,8,X,X,4,0,12,5,X,4,X,0,18,7,0,5,X,4
"충청북도","귀농가구원수 (명)",1341,241,159,506,358,77,1210,247,137,446,321,59,1320,245,144,415,418,98,1457,220,139,495,500,103,1249,190,133,365,469,92,951,138,95,295,347,76
"충청북도","귀농인수 (명)",925,64,129,392,285,55,847,81,109,352,268,37,938,97,108,332,341,60,1086,87,109,403,411,76,962,78,111,310,399,64,730,57,78,243,292,60
"충청북도","동반가구원수 (명)",416,177,30,114,73,22,363,166,28,94,53,22,382,148,36,83,77,38,371,133,30,92,89,27,287,112,22,55,70,28,221,81,17,52,55,16
"청주시","귀농가구원수 (명)",164,38,19,64,32,11,160,58,18,39,39,6,149,35,21,45,36,12,150,36,19,48,36,11,139,33,28,34,38,6,156,46,17,51,32,10
